matricula  U.E.A. Trim Ev. Cal Plan
 209341853 2211081 19I GLO. NA  56 HC02
 209341853 2332089 19I GLO. NA  56 BK08
 209341853 2332088 19P GLO. NA  56 BK08
 209341853 2211078 20I GLO. B   56 HB09
 209350690 2300033 09O GLO. EQ  56
 209350690 2300034 09O GLO. EQ  56
 209350690 2300035 09O GLO. EQ  56
 209350690 2331062 10I GLO. EQ  56
 209350690 2331064 10I GLO. EQ  56
 209350690 2255065 10P GLO. EQ  56
 209350690 2331065 10P GLO. EQ  56
 209350690 2900057 10P GLO. EQ  56
 209350690 2331066 10O GLO. EQ  56
 209350690 2332081 10O GLO. EQ  56
 209350690 2130034 11P GLO. EQ  56
 209350690 2331067 11P GLO. EQ  56
 209350690 2331063 11O GLO. EQ  56
 209350690 2332059 12P REC. EQ  56
 209350690 2332060 12O GLO. EQ  56
 209350690 2112013 13I GLO. NA  56 BC04
 209350690 2132075 13I GLO. S   56 BB52
 209350690 2132060 13P GLO. NA  56 BC03
 209350690 2331061 13P GLO. B   56 BB57
 209350690 2132060 13O GLO. MB  56 BC51
 209350690 2112013 14I GLO. NA  56 BB02
 209350690 2112013 14I REC. S   56 J12013
 209350690 2132061 14I GLO. NA  56 BD03
 209350690 2122081 14P GLO. S   56 BC51
 209350690 2331073 14P GLO. MB  56 BI58A
 209350690 2132064 14O GLO. NA  56 BG02
 209350690 2132064 14O REC. NA  56 J32064
 209350690 2141025 14O GLO. NA  56 BD51
 209350690 2141025 14O REC. S   56 J41025
 209350690 2132061 15I GLO. B   56 BD51
 209350690 2132064 15I GLO. B   56 BG01
 209350690 2141026 15I GLO. NA  56 BE01
 209350690 2141026 15I REC. NA  56 J41026
 209350690 2132062 15P GLO. MB  56 BE51
 209350690 2332083 15P GLO. B   56 BJ08
 209350690 2122082 15O GLO. NA  56 BF02
 209350690 2122082 15O REC. B   56 J22082
 209350690 2141026 15O GLO. S   56 BE52
 209350690 2332086 15O GLO. B   56 BJ08
 209350690 2122083 16I GLO. MB  56 BG52
 209350690 2211078 16I GLO. NA  56 HB07
 209350690 2331072 16I GLO. NA  56 BH08
 209350690 2122084 16P GLO. NA  56 BH01
 209350690 2132063 16P GLO. B   56 BF51
 209350690 2132065 16P GLO. MB  56 BH01
 209350690 2331072 16P GLO. MB  56 BH08
 209350690 2122084 16O GLO. NA  56 BH01
 209350690 2122084 16O REC. NA  56 J22084
 209350690 2331074 16O GLO. NA  56 BI08
 209350690 2331076 16O GLO. B   56 BK08
 209350690 2332080 16O GLO. B   56 BG08
 209350690 2122084 17I REC. S   56 J22084
 209350690 2255066 17I GLO. MB  56 HF09
 209350690 2342033 17I GLO. NA  56 BJ02
 209350690 2331074 17P GLO. NA  56 BI08
 209350690 2331077 17P GLO. B   56 BJ08
 209350690 2352012 17P GLO. NA  56 BK05
 209350690 2332064 17O GLO. B   56 BG08
 209350690 2332075 17O GLO. B   56 BG08
 209350690 2242036 18I GLO. S   56 HD52
 209350690 2255133 18I GLO. NA  56 HJ01
 209350690 2331068 18I GLO. NA  56 BK58
 209350690 2331068 18I REC. S   56 J31068
 209350690 2332074 18I GLO. S   56 BG08
 209350690 2211083 18P GLO. MB  56 HC19
 209350690 2241091 18P GLO. NA  56 HC53
 209350690 2321088 18P REC. MB  56 J21088
 209350690 2211087 18O GLO. NA  56 HD03
 209350690 2321089 18O GLO. MB  56 BE06
 209350690 2332088 18O GLO. B   56 BL08
 209350690 2255317 19I GLO. B   56 BA51
 209350690 2331074 19I REC. NA  56 J31074
 209350690 2352015 19I GLO. MB  56 BL55
 209350690 2331069 20I GLO. B   56 BL07M
 209350690 2331074 20P REC. B   56 J31074
 209350690 2331075 20O GLO. B   56 BJ08
 209369801 2300033 09O GLO. EQ  56
 209369801 2300035 09O GLO. EQ  56
 209369801 2300034 10I GLO. EQ  56
